USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
pekanbaru2;EXCLUSIVE GT;SF-PKU001-326;PEKANBARU2
pekanbaru3;EXCLUSIVE MT;SF-PKU001-293;PEKANBARU3
pekanbaru4;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU4
pekanbaru5;MIX GT;SF-PKU001-322;PEKANBARU5
pekanbaru6;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU6
pekanbaru7;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU7
pekanbaru8;MIX GT;SF-PKU001-374;PEKANBARU8
pekanbaru9;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU9
pekanbaru10;MIX GT;SF-PKU001-368;PEKANBARU10
pekanbaru11;MIX GT;SF-PKU001-W00538;PEKANBARU11
pekanbaru12;MIX GT;SF-PKU001-W00537;PEKANBARU12
pekanbaru13;EXCLUSIVE MT-GT;SF-PKU001-W001;PEKANBARU13
pekanbaru14;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU14
pekanbaru15;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU15
bengkulu1;MIX GT;SF-BUD031-MT DK;BENGKULU1
bengkulu2;MIX GT;SF-BUD031-UTARA JAUH;BENGKULU2
bengkulu3;MIX GT;SF-BUD031-W019;BENGKULU3
bengkulu4;MIX GT;SF-BUD031-SELATAN;BENGKULU4
bengkulu5;MIX GT;SF-BUD031-UTARA DEKET;BENGKULU5
bengkulu6;TIDAK AKTIF;TIDAK AKTIF;BENGKULU6
bengkulu7;TIDAK AKTIF;TIDAK AKTIF;BENGKULU7
palembang1;EXCLUSIVE GT;SF-AA016-SALES GLICO GT 03;PALEMBANG1
palembang2;EXCLUSIVE GT;SF-AA016-SALES GLICO GT 01;PALEMBANG2
palembang3;EXCLUSIVE MT;SF-AA016-SALES GLICO MT;PALEMBANG3
palembang4;EXCLUSIVE GT;SF-AA016-SALES MIX GT 02;PALEMBANG4
baturaja1;EXCLUSIVE MT-GT;#N/A;BATURAJA1
muba1;TIDAK AKTIF;TIDAK AKTIF;MUBA1
lahat1;EXCLUSIVE MT-GT;#N/A;LAHAT1
linggau1;TIDAK AKTIF;TIDAK AKTIF;LINGGAU1
prabumulih1;TIDAK AKTIF;TIDAK AKTIF;PRABUMULIH1
lampung1;EXCLUSIVE MT;SF-CLTM021-10.119.18;LAMPUNG1
metro1;TIDAK AKTIF;TIDAK AKTIF;METRO1
metro2;TIDAK AKTIF;TIDAK AKTIF;METRO2
tulangbawang1;TIDAK AKTIF;TIDAK AKTIF;TULANGBAWANG1
tulangbawang2;TIDAK AKTIF;TIDAK AKTIF;TULANGBAWANG2
kotabumi1;TIDAK AKTIF;TIDAK AKTIF;KOTABUMI1
kotabumi2;TIDAK AKTIF;TIDAK AKTIF;KOTABUMI2
bekasi5;TIDAK AKTIF;TIDAK AKTIF;BEKASI5
dumai1;EXCLUSIVE MT-GT;SF-PKU001-W017;DUMAI1
dumai2;MIX GT;SF-PKU001-W002;DUMAI2
dumai3;TIDAK AKTIF;TIDAK AKTIF;DUMAI3
palembang5;TIDAK AKTIF;TIDAK AKTIF;PALEMBANG5
samarinda1;EXCLUSIVE MT;SF-LTA-01-13010023;SAMARINDA1
samarinda2;TIDAK AKTIF;TIDAK AKTIF;SAMARINDA2
samarinda3;EXCLUSIVE GT;SF-LTA-01-13011014;SAMARINDA3
samarinda4;TIDAK AKTIF;TIDAK AKTIF;SAMARINDA4
samarinda5;TIDAK AKTIF;TIDAK AKTIF;SAMARINDA5
bontang1;MIX GT;SF-LTA-04-13013003;BONTANG1
bontang2;MIX GT;SF-LTA-04-13010016;BONTANG2
bontang3;TIDAK AKTIF;TIDAK AKTIF;BONTANG3
berau1;MIX GT;SF-LTA-05-17003001;BERAU1
berau2;MIX GT;SF-LTA-05-17005002;BERAU2
balikpapan1;MIX GT;SF-LTA-02-11022022;BALIKPAPAN1
balikpapan2;TIDAK AKTIF;TIDAK AKTIF;BALIKPAPAN2
balikpapan3;MIX GT;SF-LTA-02-11004097;BALIKPAPAN3
balikpapan4;MIX GT;SF-LTA-02-11096120;BALIKPAPAN4
balikpapan5;TIDAK AKTIF;TIDAK AKTIF;BALIKPAPAN5
